,site,link,status,title
0,https://www.google.com,https://www.google.com/,200,Google
1,https://www.google.com,https://www.google.com/intl/ru/policies/terms/,200,
2,https://www.google.com,https://www.google.com/intl/ru/policies/privacy/,200,
3,https://www.google.com,https://www.google.com/setprefdomain?prefdom=RU&amp,200,Google
4,https://www.google.com,https://www.google.com/intl/ru/about.html,200,Google - ÐÐ¾Ð¼Ð¿Ð°Ð½Ð¸Ñ
5,https://www.google.com,https://www.google.com/policies/terms/,200,
6,https://www.google.com,https://www.google.com/policies/privacy/,200,
7,https://www.google.com,https://www.google.com/./,200,Google
8,https://www.google.com,https://www.google.com/intl/ru/ads/,200,"
      Google Ads - Get More Customers & Generate Leads with Online Ads
    "
9,https://www.google.com,https://www.google.com/#help,200,Google
10,https://www.google.com,https://www.google.com/advanced_search?hl=ru&amp;authuser=0,200,Расширенный поиск Google
11,https://www.google.com,https://www.google.com/preferences?hl=ru,200,Настройки поиска
12,https://www.google.com,https://www.google.com/url?q=/history/optout%3Fhl%3Dru&amp;sa=U&amp;ved=0ahUKEwiux4ac1fD9AhXl_CoKHfgrBesQpdoJCAo&amp;usg=AOvVaw34fgObyWrG1ZcKEv6RpggV,200,Google – Персонализация поиска
13,https://www.google.com,https://www.google.com//www.google.com/favicon.ico,404,Error 404 (Not Found)!!1
14,https://www.google.com,"https://www.google.com//fonts.googleapis.com/css?family=Roboto:100,300,400,500,700|Google+Sans+Text:400,500,700,400i,500i,700i|Google+Sans:400,500|Google+Sans+Display:400|Product+Sans:400&amp;lang=en",404,Error 404 (Not Found)!!1
15,https://www.google.com,https://www.google.com/stories/,404,Error 404 (Not Found)!!1
16,https://www.google.com,https://www.google.com/./stories/clean-air-for-kampala/,404,Error 404 (Not Found)!!1
17,https://www.google.com,https://www.google.com/images/branding/product/1x/ads_24dp.png,200,
18,https://www.google.com,https://www.google.com/intl/ru/accessibility/,200,Google Ð¡Ð¿ÐµÑÐ¸Ð°Ð»ÑÐ½ÑÐµ Ð²Ð¾Ð·Ð¼Ð¾Ð¶Ð½Ð¾ÑÑÐ¸
19,https://www.google.com,https://www.google.com/./stories/soundingthealarm/,404,Error 404 (Not Found)!!1
20,https://www.google.com,https://www.google.com/./stories/lifebank/,404,Error 404 (Not Found)!!1
21,https://www.google.com,https://www.google.com/home/static/home/css/home.min.css?cache=87d6120,404,Error 404 (Not Found)!!1
22,https://www.google.com,https://www.google.com/./stories/,404,Error 404 (Not Found)!!1
23,https://www.google.com,https://www.google.com/../home/pricing/,404,Error 404 (Not Found)!!1
24,https://www.google.com,https://www.google.com/./stories/agoraphobic-traveller/,404,Error 404 (Not Found)!!1
25,https://www.google.com,https://www.google.com/../home/faq/,404,Error 404 (Not Found)!!1
26,https://www.google.com,https://www.google.com/https://safety.google/intl/ru/,404,Error 404 (Not Found)!!1
27,https://www.google.com,https://www.google.com/assets-main/css/index.min.css?cache=84d32a3,404,Error 404 (Not Found)!!1
28,https://www.google.com,https://www.google.com/../home/resources/advanced/,404,Error 404 (Not Found)!!1
29,https://www.google.com,https://www.google.com/commitments/,404,Error 404 (Not Found)!!1
30,https://www.google.com,https://www.google.com/#google-color-logo,200,Google
31,https://www.google.com,https://www.google.com/../home/how-it-works/,404,Error 404 (Not Found)!!1
32,https://www.google.com,https://www.google.com/about/software-principles.html,200,"
      Software Principles | Google â Google
    "
33,https://www.google.com,https://www.google.com,200,Google
34,https://www.google.com,https://www.google.com/assets-main/img/glue-icons.svg#menu,404,Error 404 (Not Found)!!1
35,https://www.google.com,https://www.google.com/about/unwanted-software-policy.html,200,"
      Unwanted Software Policy | Google â Google
    "
36,https://www.google.com,https://www.google.com/#page-content,200,Google
37,https://www.google.com,https://www.google.com/#arrow-forward,200,Google
38,https://www.google.com,https://www.google.com/#jump-content,200,Google
39,https://www.google.com,https://www.google.com/#menu,200,Google
40,https://www.google.com,https://www.google.com/assets-main/img/glue-icons.svg#google-color-logo,404,Error 404 (Not Found)!!1
41,https://www.google.com,https://www.google.com/assets-main/css/home.min.css?cache=02dd6cc,404,Error 404 (Not Found)!!1
42,https://www.google.com,https://www.google.com/community-guidelines/,404,Error 404 (Not Found)!!1
43,https://www.google.com,https://www.google.com/contact-google/,404,Error 404 (Not Found)!!1
44,https://www.google.com,https://www.google.com/#color-mic,200,Google
45,https://www.google.com,https://www.google.com/how-our-business-works/,404,Error 404 (Not Found)!!1
46,https://www.google.com,https://www.google.com/assets-main/img/glue-icons.svg#expand-more,404,Error 404 (Not Found)!!1
47,https://www.google.com,https://www.google.com/./commitments/,404,Error 404 (Not Found)!!1
48,https://www.google.com,https://www.google.com/https://lens.google/intl/ru/,404,Error 404 (Not Found)!!1
49,https://www.google.com,https://www.google.com/https://about.google/intl/ALL_ru/,404,Error 404 (Not Found)!!1
50,https://www.google.com,https://www.google.com/extended-workforce/,404,Error 404 (Not Found)!!1
51,https://www.google.com,https://www.google.com/locations/,404,Error 404 (Not Found)!!1
52,https://www.google.com,https://www.google.com/https://blog.google/products/ads/,404,Error 404 (Not Found)!!1
53,https://www.google.com,https://www.google.com/history/optout,200,Google - Search Customization
54,https://www.google.com,https://www.google.com/about/appsecurity/,200,About Google&#39;s App Security - Google
55,https://www.google.com,https://www.google.com/#gads-logo,200,Google
56,https://www.google.com,https://www.google.com/../home/tools/manager-accounts/,404,Error 404 (Not Found)!!1
57,https://www.google.com,https://www.google.com/../home/tools/keyword-planner/,404,Error 404 (Not Found)!!1
58,https://www.google.com,https://www.google.com/permissions/,200,Brand Resource Center
59,https://www.google.com,https://www.google.com/#video-youtube,200,Google
60,https://www.google.com,https://www.google.com/#office_building,200,Google
61,https://www.google.com,https://www.google.com/#expand-more,200,Google
62,https://www.google.com,https://www.google.com/intl/en/retail/solutions/shopping-campaigns/,200,Increase Sales in Retail with Performance Max - Google for Retail
63,https://www.google.com,https://www.google.com/#browser_arrow,200,Google
64,https://www.google.com,https://www.google.com/./products/,429,https://shopping.google.com/?nord=1
65,https://www.google.com,https://www.google.com/intl/en/chrome/,200,"Google Chrome - Download the Fast, Secure Browser from GoogleMenuMenuicon chrome logoicon-expand-featuresicon-expand-featuresclose drawericon chrome logoicon-expand-featuresicon-expand-featuresPrevNextYoutubeTwitterFacebookGoogleHelp"
66,https://www.google.com,https://www.google.com/https://about.google/products/,404,Error 404 (Not Found)!!1
67,https://www.google.com,https://www.google.com/#post-facebook,200,Google
68,https://www.google.com,https://www.google.com/about/responsible-supply-chain/,200,Our Sustainability Efforts &amp; Progress - Google Sustainability
69,https://www.google.com,https://www.google.com/products/,429,https://shopping.google.com/?nord=1
70,https://www.google.com,https://www.google.com/webhp?tab=ww,200,Google
71,https://www.google.com,https://www.google.com/#google-solid-logo,200,Google
72,https://www.google.com,https://www.google.com/favicon.ico,200,
73,https://www.google.com,https://www.google.com/#h-color-google-logo,200,Google
74,https://www.google.com,https://www.google.com/#twitter,200,Google
75,https://www.google.com,https://www.google.com/../accessibility/,200,Google Accessibility
76,https://www.google.com,https://www.google.com/#h-burger,200,Google
77,https://www.google.com,https://www.google.com/../accessibility/for-developers/,200,Resources for Developers and Publishers â Google Accessibility
78,https://www.google.com,https://www.google.com/intl/en/services/,200,"
      Business Management Software | Google Business Solutions â Google
    "
79,https://www.google.com,https://www.google.com/#top,200,Google
